priority_rank	quality_score	priority_reason	missing_fields	name	type	country	location	bio	current_linkedin	current_email	current_twitter	current_website	current_portfolio	linkedin_query	source_query	email_query	linkedin_to_fill	email_to_fill	website_to_fill	twitter_to_fill	source_url	review_status	notes	id
67	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Alex Brunicki	vc	UK	London	Partner at Backed VC. Expert in early-stage UK consumer and fintech startups.			https://twitter.com/alexbrunicki			"site:linkedin.com/in ""Alex Brunicki"" ""Backed VC"""	"""Alex Brunicki"" ""Backed VC"" investor"	"""Alex Brunicki"" email investor"								6a72f148-90c9-4bf3-9d10-19729ed2f57c
68	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Danny Gilligan	vc	Australia	Sydney	Co-founder of Reinventure (backed by Westpac). Expert in Australian fintech and marketplace.			https://twitter.com/dannygilligan			"site:linkedin.com/company ""Danny Gilligan"""	"""Danny Gilligan"" investor official"	"""Danny Gilligan"" email investor"								fa84b6f3-fe20-4790-9199-a25a99f4f7f6
69	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jan Lynn-Matern	vc	UK	London	Co-founder of Emerge Education. Europe's leading edtech-focused VC.			https://twitter.com/janlm			"site:linkedin.com/company ""Jan Lynn-Matern"""	"""Jan Lynn-Matern"" investor official"	"""Jan Lynn-Matern"" email investor"								1d2ddb74-5163-417b-b97f-25a9b4d9dc12
70	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Josh Chapman	vc	USA	Denver, CO	Managing Partner at Konvoy Ventures. Gaming-focused VC. Expert in gaming infrastructure.			https://twitter.com/joshchapman			"site:linkedin.com/in ""Josh Chapman"" ""Konvoy Ventures"""	"""Josh Chapman"" ""Konvoy Ventures"" investor"	"""Josh Chapman"" email investor"								128763f2-d8c4-40b4-9c62-94c17607927c
71	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Florian Schweitzer	vc	Germany	Berlin	Managing Partner at btov Partners. Expert in early-stage European tech.			https://twitter.com/fschweit			"site:linkedin.com/company ""Florian Schweitzer"""	"""Florian Schweitzer"" investor official"	"""Florian Schweitzer"" email investor"								94348b4b-aa43-4c0e-840c-3f2f5da4798b
72	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Pave (Sheel Mohnot)	vc	USA	San Francisco, CA	Co-founder of Better Tomorrow Ventures. Fintech-focused pre-seed VC. Former fintech founder.			https://twitter.com/pitdesi			"site:linkedin.com/company ""Pave (Sheel Mohnot)"""	"""Pave (Sheel Mohnot)"" investor official"	"""Pave (Sheel Mohnot)"" email investor"								986f2058-2db6-4a70-8ab0-3535d8002e84
73	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Finn Murphy	vc	UK	London	Partner at LocalGlobe. Expert in UK/European pre-seed investing.			https://twitter.com/finnmurphy			"site:linkedin.com/in ""Finn Murphy"" ""LocalGlobe"""	"""Finn Murphy"" ""LocalGlobe"" investor"	"""Finn Murphy"" email investor"								f2f355e2-46f9-48b3-b8e9-023c71b17ecf
74	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jacqueline Novogratz	vc	USA	New York, NY	Founder of Acumen. Pioneer in impact investing and patient capital for emerging markets.			https://twitter.com/jnovogratz			"site:linkedin.com/company ""Jacqueline Novogratz"""	"""Jacqueline Novogratz"" investor official"	"""Jacqueline Novogratz"" email investor"								1398b153-cacb-4720-bb27-c39830475073
75	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jordan Cooper	vc	USA	New York, NY	Partner at Glade Brook Capital. Former partner at Lerer Hippeau. Consumer and social expert.			https://twitter.com/jordancooper			"site:linkedin.com/in ""Jordan Cooper"" ""Glade Brook Capital"""	"""Jordan Cooper"" ""Glade Brook Capital"" investor"	"""Jordan Cooper"" email investor"								b5b5e55e-3558-4e2b-aaba-9fae6b2574f6
76	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nakul Mandan	vc	USA	San Francisco, CA	Co-founder and Managing Partner at Audacious Ventures. Expert in future of work and B2B SaaS.			https://twitter.com/nakulmandan			"site:linkedin.com/in ""Nakul Mandan"" ""Audacious Ventures"""	"""Nakul Mandan"" ""Audacious Ventures"" investor"	"""Nakul Mandan"" email investor"								7012c64e-8f23-4c80-a924-ebc9fe7049ad
77	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ross Fubini	vc	USA	San Francisco, CA	Partner at XYZ Venture Capital. Ex-Village Global. Expert in deep tech and hard problems.			https://twitter.com/rossfubini			"site:linkedin.com/in ""Ross Fubini"" ""XYZ Venture Capital"""	"""Ross Fubini"" ""XYZ Venture Capital"" investor"	"""Ross Fubini"" email investor"								f58cbf7c-c5ab-4a9e-9dbc-b0b593b7da4e
78	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Brad Svrluga	vc	USA	New York, NY	Co-founder of Primary Venture Partners. Expert in NYC enterprise and B2B startups.			https://twitter.com/bsvrluga			"site:linkedin.com/company ""Brad Svrluga"""	"""Brad Svrluga"" investor official"	"""Brad Svrluga"" email investor"								801dd61e-175a-4741-ab81-ba130ee4accd
79	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Mac Conwell	vc	USA	Baltimore, MD	Founder of RareBreed Ventures. Expert in pre-seed investing outside Silicon Valley.			https://twitter.com/MacConwell			"site:linkedin.com/company ""Mac Conwell"""	"""Mac Conwell"" investor official"	"""Mac Conwell"" email investor"								1ef8d0df-a914-435e-91c9-bff65fbf1aac
80	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Melissa Bradley	vc	USA	Washington, DC	Managing Partner at 1863 Ventures. Expert in New Majority entrepreneurs and underserved markets.			https://twitter.com/melissabradley			"site:linkedin.com/company ""Melissa Bradley"""	"""Melissa Bradley"" investor official"	"""Melissa Bradley"" email investor"								5e8d5eed-f2c7-44c8-91f5-3c8d9e292172
81	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Lolita Taub	vc	USA	Los Angeles, CA	General Partner at The Community Fund. Expert in community-led growth companies.			https://twitter.com/lolitataub			"site:linkedin.com/in ""Lolita Taub"" ""The Community Fund"""	"""Lolita Taub"" ""The Community Fund"" investor"	"""Lolita Taub"" email investor"								54972bf5-5141-4473-ae6c-5761b6e00893
82	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sydney Thomas	vc	USA	San Francisco, CA	Partner at Precursor Ventures. Expert in very early-stage diverse founders.			https://twitter.com/sydbthomas			"site:linkedin.com/in ""Sydney Thomas"" ""Precursor Ventures"""	"""Sydney Thomas"" ""Precursor Ventures"" investor"	"""Sydney Thomas"" email investor"								1e054dd1-cb58-4f80-8764-c02f13d34bdb
83	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Paige Doherty	angel	USA	New York, NY	Founder of Behind Genius Ventures. Gen Z angel investor and author.			https://twitter.com/paigedoherty_			"site:linkedin.com/in ""Paige Doherty"" investor"	"""Paige Doherty"" investor official"	"""Paige Doherty"" email investor"								81a92a05-353d-43e9-a230-d8bf47bea35e
84	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Halle Tecco	angel	USA	San Francisco, CA	Founder of Rock Health. Pioneer of digital health venture. Mentor and angel in health startups.			https://twitter.com/halletecco			"site:linkedin.com/in ""Halle Tecco"" investor"	"""Halle Tecco"" investor official"	"""Halle Tecco"" email investor"								527c59ba-6f6e-4735-88f5-7760dafed64f
85	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Meagan Crawford	vc	USA	Houston, TX	Managing Partner at SpaceFund. Expert in new space economy and orbital infrastructure.			https://twitter.com/meagancrawford			"site:linkedin.com/in ""Meagan Crawford"" ""SpaceFund"""	"""Meagan Crawford"" ""SpaceFund"" investor"	"""Meagan Crawford"" email investor"								162960f2-4428-4208-91e4-fc0b9e28fa17
86	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Adam Besvinick	vc	USA	New York, NY	Partner at Box Group. Expert in consumer and marketplace early-stage investing.			https://twitter.com/adambesvinick			"site:linkedin.com/in ""Adam Besvinick"" ""Box Group"""	"""Adam Besvinick"" ""Box Group"" investor"	"""Adam Besvinick"" email investor"								66e2e0b4-80cf-4e91-aa7c-147506d36e16
87	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Edith Yeung	vc	USA	San Francisco, CA	Partner at Race Capital. Expert in US-China tech bridge and Asian-American founders.			https://twitter.com/edithyeung			"site:linkedin.com/in ""Edith Yeung"" ""Race Capital"""	"""Edith Yeung"" ""Race Capital"" investor"	"""Edith Yeung"" email investor"								4bd6d472-c58d-49ab-8ad6-2ba509c879f0
88	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Rui Ma	angel	USA	San Francisco, CA	Co-founder of Tech Buzz China. Expert in Chinese tech ecosystem and cross-border investing.			https://twitter.com/ruima			"site:linkedin.com/in ""Rui Ma"" investor"	"""Rui Ma"" investor official"	"""Rui Ma"" email investor"								7e74474b-02e3-4e21-bf16-e88b0907004f
89	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Dan Martell	angel	Canada	Moncton	SaaS coach and angel investor. Founder of AcquireApp. Expert in SaaS growth and scaling.			https://twitter.com/danmartell			"site:linkedin.com/in ""Dan Martell"" investor"	"""Dan Martell"" investor official"	"""Dan Martell"" email investor"								f12222c4-15fe-4782-ade9-1a0294da2cc4
90	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Evan Nisselson	vc	USA	New York, NY	General Partner at LDV Capital. Expert in visual technology, AI, and computer vision.			https://twitter.com/enisselson			"site:linkedin.com/in ""Evan Nisselson"" ""LDV Capital"""	"""Evan Nisselson"" ""LDV Capital"" investor"	"""Evan Nisselson"" email investor"								813a8cc5-9475-420a-a3f4-b8cef189c20b
91	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Micah Rosenbloom	vc	USA	Cambridge, MA	Managing Partner at Founder Collective. Expert in early-stage B2B and developer tools.			https://twitter.com/micahjay1			"site:linkedin.com/in ""Micah Rosenbloom"" ""Founder Collective"""	"""Micah Rosenbloom"" ""Founder Collective"" investor"	"""Micah Rosenbloom"" email investor"								11fdb4a8-3466-451f-aad3-95ebe6819939
92	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ben Casnocha	vc	USA	San Francisco, CA	Co-founder of Village Global. Author of 'The Start-Up of You'. Expert in talent and networks.			https://twitter.com/bencasnocha			"site:linkedin.com/company ""Ben Casnocha"""	"""Ben Casnocha"" investor official"	"""Ben Casnocha"" email investor"								392c6cc9-c4a6-4808-95ef-4a39f25a8ee9
93	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Omar Christidis	angel	UAE	Dubai	Founder of ArabNet. Angel investor in Arab tech ecosystem. Expert in MENA startups.			https://twitter.com/omarchristidis			"site:linkedin.com/in ""Omar Christidis"" investor"	"""Omar Christidis"" investor official"	"""Omar Christidis"" email investor"								eb2b7f48-d7dc-4c20-a854-6ed3a291f70a
94	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Hampus Jakobsson	vc	Sweden	Malmo	Co-founder of Pale Blue Dot. Expert in climate and sustainability tech in Nordics.			https://twitter.com/hajak			"site:linkedin.com/company ""Hampus Jakobsson"""	"""Hampus Jakobsson"" investor official"	"""Hampus Jakobsson"" email investor"								2aeb81b5-82db-4105-a237-216a57154d08
95	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Heidi Lindvall	vc	Sweden	Malmo	Co-founder of Pale Blue Dot. Expert in climate tech early-stage investing.			https://twitter.com/heidilindvall			"site:linkedin.com/company ""Heidi Lindvall"""	"""Heidi Lindvall"" investor official"	"""Heidi Lindvall"" email investor"								e582d26d-de84-48f0-a8a1-0063a6aebeed
96	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Nicolas Wittenborn	vc	Germany	Berlin	Co-founder of Adjacent. Expert in European consumer tech.			https://twitter.com/nwittenborn			"site:linkedin.com/company ""Nicolas Wittenborn"""	"""Nicolas Wittenborn"" investor official"	"""Nicolas Wittenborn"" email investor"								56e15605-3139-425b-bdea-b9f0e2c117c1
97	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Stephanie Palmeri	vc	USA	San Francisco, CA	Partner at Uncork Capital. Expert in early-stage consumer and B2B SaaS.			https://twitter.com/stephaniepalm			"site:linkedin.com/in ""Stephanie Palmeri"" ""Uncork Capital"""	"""Stephanie Palmeri"" ""Uncork Capital"" investor"	"""Stephanie Palmeri"" email investor"								9812cba7-7e22-4698-8b2b-465274785c61
98	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	David Beisel	vc	USA	Boston, MA	Co-founder of NextView Ventures. Expert in consumer internet and marketplace.			https://twitter.com/beisel			"site:linkedin.com/company ""David Beisel"""	"""David Beisel"" investor official"	"""David Beisel"" email investor"								e632c4dd-0318-4dfe-be81-a40fa0cf303f
99	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Rob Go	vc	USA	Boston, MA	Co-founder of NextView Ventures. Expert in local commerce and consumer mobile.			https://twitter.com/robgo			"site:linkedin.com/company ""Rob Go"""	"""Rob Go"" investor official"	"""Rob Go"" email investor"								21d79094-bff1-4b6c-ae4d-1b9f7b9e95c5
100	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Iñaki Arrola	vc	Spain	Madrid	Partner at K Fund. Expert in Spanish and Iberian tech startup ecosystem.			https://twitter.com/iarrola			"site:linkedin.com/in ""Iñaki Arrola"" ""K Fund"""	"""Iñaki Arrola"" ""K Fund"" investor"	"""Iñaki Arrola"" email investor"								1e383249-796b-4092-9afd-add2c13bca0b
101	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Aquilino Pena	vc	Spain	Madrid	Co-founder of Kibo Ventures. Expert in Spanish deep tech and enterprise.			https://twitter.com/aquilinopena			"site:linkedin.com/company ""Aquilino Pena"""	"""Aquilino Pena"" investor official"	"""Aquilino Pena"" email investor"								dca574b7-534a-400e-aa06-a2dc3f13dacc
102	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Carlos Blanco	angel	Spain	Barcelona	Founder of Nuclio Digital School and Encomenda Smart Capital. Spain's most active angel.			https://twitter.com/carlosblanco_			"site:linkedin.com/in ""Carlos Blanco"" investor"	"""Carlos Blanco"" investor official"	"""Carlos Blanco"" email investor"								5de06b48-e2cd-4d8b-8efa-a4baaaa0145e
103	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Matteo Masserdotti	vc	Italy	Milan	Co-founder of Digital Magics. Expert in Italian startup ecosystem and digital.			https://twitter.com/masserdotti			"site:linkedin.com/company ""Matteo Masserdotti"""	"""Matteo Masserdotti"" investor official"	"""Matteo Masserdotti"" email investor"								6450ed4e-2010-45ef-9348-e4779d6ac72b
104	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Spencer Noon	angel	USA	New York, NY	Founder of OurNetwork. Angel in DeFi and crypto analytics startups.			https://twitter.com/spencernoon			"site:linkedin.com/in ""Spencer Noon"" investor"	"""Spencer Noon"" investor official"	"""Spencer Noon"" email investor"								85ac154a-429c-4321-85d9-7e0f759d3c99
105	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Emily Kirsch	vc	USA	Oakland, CA	Founder of Powerhouse Ventures. Expert in climate and clean energy startups.			https://twitter.com/emilykirsch			"site:linkedin.com/company ""Emily Kirsch"""	"""Emily Kirsch"" investor official"	"""Emily Kirsch"" email investor"								611c7102-69a1-4ed6-90a9-28b532c5594d
106	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Tiffany Zhong	angel	USA	San Francisco, CA	Founder of Zebra IQ. Expert in Gen Z consumer and social trends. Active angel.			https://twitter.com/tzhongg			"site:linkedin.com/in ""Tiffany Zhong"" investor"	"""Tiffany Zhong"" investor official"	"""Tiffany Zhong"" email investor"								003a511e-ac58-4717-ab7f-caf42209d973
107	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Jason Lemkin	angel	USA	San Francisco, CA	Founder of SaaStr. Angel investor in B2B SaaS. One of most influential SaaS voices.			https://twitter.com/jasonlk			"site:linkedin.com/in ""Jason Lemkin"" investor"	"""Jason Lemkin"" investor official"	"""Jason Lemkin"" email investor"								58225de7-4a67-4d4a-9334-82155a708f5e
108	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sammy Abdullah	vc	USA	Chicago, IL	Managing Partner at Blossom Street Ventures. Expert in B2B SaaS metrics investing.			https://twitter.com/sammyabdullah			"site:linkedin.com/in ""Sammy Abdullah"" ""Blossom Street Ventures"""	"""Sammy Abdullah"" ""Blossom Street Ventures"" investor"	"""Sammy Abdullah"" email investor"								eaacddfa-7921-4ee0-99ce-210393dd5806
109	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Parker Thompson	vc	USA	San Francisco, CA	Partner at Pear VC. Former early Dropbox. Expert in hard problems and technical founders.			https://twitter.com/pt			"site:linkedin.com/in ""Parker Thompson"" ""Pear VC"""	"""Parker Thompson"" ""Pear VC"" investor"	"""Parker Thompson"" email investor"								28561315-2072-4c9a-992c-08b7bd079761
110	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Vesa Lauronen	vc	Finland	Helsinki	Managing Partner at Superhero Capital. Expert in Finnish and Nordic B2B SaaS.			https://twitter.com/vesalauronen			"site:linkedin.com/in ""Vesa Lauronen"" ""Superhero Capital"""	"""Vesa Lauronen"" ""Superhero Capital"" investor"	"""Vesa Lauronen"" email investor"								876711c0-a84f-4500-8b4a-92b0dae569fc
111	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Vinnie Lauria	vc	Singapore	Singapore	Co-founder of Golden Gate Ventures. Expert in Southeast Asian early-stage startups.			https://twitter.com/vlauria			"site:linkedin.com/company ""Vinnie Lauria"""	"""Vinnie Lauria"" investor official"	"""Vinnie Lauria"" email investor"								ad6e263f-9bce-459b-87a7-cf01ed1e28b3
112	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Bernard Moon	vc	South Korea	Seoul	Co-founder of SparkLabs Global. Expert in Korean and global startup ecosystems.			https://twitter.com/bernardmoon			"site:linkedin.com/company ""Bernard Moon"""	"""Bernard Moon"" investor official"	"""Bernard Moon"" email investor"								3cdf6071-67f1-48f7-bce1-3e0766fedcfd
113	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sarah Drinkwater	vc	UK	London	Partner at Common Magic. Expert in community, sustainability, and inclusive tech.			https://twitter.com/sarahdrinkwater			"site:linkedin.com/in ""Sarah Drinkwater"" ""Common Magic"""	"""Sarah Drinkwater"" ""Common Magic"" investor"	"""Sarah Drinkwater"" email investor"								2350dccb-3557-4c9b-8b09-ae6591e126b5
114	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Carmen Alfonso Rico	vc	Spain	Madrid	Partner at Antler Spain. Expert in Spanish early-stage tech startups.			https://twitter.com/carmenrico			"site:linkedin.com/in ""Carmen Alfonso Rico"" ""Antler Spain"""	"""Carmen Alfonso Rico"" ""Antler Spain"" investor"	"""Carmen Alfonso Rico"" email investor"								c33f5e2d-7949-4961-945b-aec21f14cad8
115	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Michal Rokosz	vc	Poland	Warsaw	Partner at Inovo VC. Expert in Polish and CEE B2B SaaS companies.			https://twitter.com/mrokosz			"site:linkedin.com/in ""Michal Rokosz"" ""Inovo VC"""	"""Michal Rokosz"" ""Inovo VC"" investor"	"""Michal Rokosz"" email investor"								a8870066-53cb-4472-8095-7eaa74d630ab
116	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Borys Musielak	vc	Poland	Warsaw	Co-founder of SMOK Ventures. Expert in Polish and CEE early-stage tech.			https://twitter.com/borysd			"site:linkedin.com/company ""Borys Musielak"""	"""Borys Musielak"" investor official"	"""Borys Musielak"" email investor"								3257be88-9fbd-43ef-b0d1-f5ef148bef34
117	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Alexis Bonte	vc	France	Paris	Co-founder of eVentures. Gaming and consumer investor in France and Europe.			https://twitter.com/alexisbonte			"site:linkedin.com/company ""Alexis Bonte"""	"""Alexis Bonte"" investor official"	"""Alexis Bonte"" email investor"								854b4de1-9328-4813-9fe6-35a651da3813
118	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Chris Devore	vc	USA	Seattle, WA	Co-founder of Founders' Co-op. Expert in Pacific Northwest early-stage startups.			https://twitter.com/crashdev			"site:linkedin.com/company ""Chris Devore"""	"""Chris Devore"" investor official"	"""Chris Devore"" email investor"								cc7d09e8-df7d-4b98-b016-1f6e45743708
119	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Khailee Ng	vc	Malaysia	Kuala Lumpur	Managing Partner at 500 Southeast Asia. Expert in regional consumer and marketplace.			https://twitter.com/khailee			"site:linkedin.com/company ""Khailee Ng"""	"""Khailee Ng"" investor official"	"""Khailee Ng"" email investor"								1032aad4-88da-4529-a527-8f673845436c
120	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Kenji Tomita	vc	Japan	Tokyo	Co-founder of Genesia Ventures. Expert in Japanese and SEA early-stage startups.			https://twitter.com/ktomita			"site:linkedin.com/company ""Kenji Tomita"""	"""Kenji Tomita"" investor official"	"""Kenji Tomita"" email investor"								e2a8a632-3860-4796-8482-a77bc2ca9657
121	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Emeka Ajene	angel	France	Paris	Founder of Afrobytes. Expert in African and French tech startup ecosystems.			https://twitter.com/emekaajene			"site:linkedin.com/in ""Emeka Ajene"" investor"	"""Emeka Ajene"" investor official"	"""Emeka Ajene"" email investor"								2efb5e8a-90ce-4de0-966e-3e7d95b0a261
122	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Olumide Soyombo	vc	Nigeria	Lagos	Co-founder of Voltron Capital. Expert in Nigerian and West African tech startups.			https://twitter.com/olumide_s			"site:linkedin.com/company ""Olumide Soyombo"""	"""Olumide Soyombo"" investor official"	"""Olumide Soyombo"" email investor"								e96714cf-7f35-49dd-a306-c7c77adcc8f9
123	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Rebecca Enonchong	angel	Cameroon	Yaounde	Founder of AppsTech. Pan-African tech investor and entrepreneur.			https://twitter.com/rebecc_a			"site:linkedin.com/in ""Rebecca Enonchong"" investor"	"""Rebecca Enonchong"" investor official"	"""Rebecca Enonchong"" email investor"								a8bb43ee-5b79-4785-8be5-62ac148ce323
124	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Saurabh Sharma	vc	India	Delhi	Co-founder of Titan Capital. Expert in Indian early-stage consumer and marketplace.			https://twitter.com/saurabhsharma			"site:linkedin.com/company ""Saurabh Sharma"""	"""Saurabh Sharma"" investor official"	"""Saurabh Sharma"" email investor"								df0b20ba-9ef9-4a94-ab7e-873554bdd20b
125	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Babak Nivi	angel	USA	San Francisco, CA	Co-founder of AngelList. Expert in startup fundraising and early-stage investing.			https://twitter.com/nivi			"site:linkedin.com/in ""Babak Nivi"" investor"	"""Babak Nivi"" investor official"	"""Babak Nivi"" email investor"								5b712ab5-85c7-4a67-a355-0e0790cb6ebf
126	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Cindy Bi	vc	USA	San Francisco, CA	Founder of CapitalX. Expert in AI and consumer companies from China and US.			https://twitter.com/CindyBi_			"site:linkedin.com/company ""Cindy Bi"""	"""Cindy Bi"" investor official"	"""Cindy Bi"" email investor"								c9eece8a-01ad-4756-b8a6-4bb301f23e7f
127	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Sharad Sharma	angel	India	Bengaluru	Co-founder of iSPIRT Foundation. Angel investor in Indian SaaS and product companies.			https://twitter.com/sharad_sharma			"site:linkedin.com/in ""Sharad Sharma"" investor"	"""Sharad Sharma"" investor official"	"""Sharad Sharma"" email investor"								1e51af72-422b-4e06-a43c-7c05e0e0957c
128	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Shomik Ghosh	vc	USA	New York, NY	Partner at Boldstart Ventures. Expert in developer-first and enterprise infrastructure.			https://twitter.com/shomikghosh21			"site:linkedin.com/in ""Shomik Ghosh"" ""Boldstart Ventures"""	"""Shomik Ghosh"" ""Boldstart Ventures"" investor"	"""Shomik Ghosh"" email investor"								df385f7b-65a0-4e3a-b8b9-a33e5afcc1b4
129	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Kanyi Maqubela	vc	USA	San Francisco, CA	Managing Partner at Kindred Ventures. Expert in consumer and marketplace companies.			https://twitter.com/kanyi			"site:linkedin.com/in ""Kanyi Maqubela"" ""Kindred Ventures"""	"""Kanyi Maqubela"" ""Kindred Ventures"" investor"	"""Kanyi Maqubela"" email investor"								565c9bc4-b8b0-4e31-9c71-f966f0d59df6
130	70	operator_or_partner: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Ahmed El Alfi	vc	Egypt	Cairo	Founder of Sawari Ventures. Pioneer of Egyptian and North African tech investing.			https://twitter.com/Alfi			"site:linkedin.com/company ""Ahmed El Alfi"""	"""Ahmed El Alfi"" investor official"	"""Ahmed El Alfi"" email investor"								40e96535-bac7-42d2-a3da-f74e3f9536c0
131	70	top_firm_or_brand: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Anu Hariharan	vc	USA	San Francisco, CA	Partner at Y Combinator Continuity. Former BCG. Invests in growth-stage YC companies.			https://twitter.com/anuhariharan			"site:linkedin.com/in ""Anu Hariharan"" ""Y Combinator Continuity"""	"""Anu Hariharan"" ""Y Combinator Continuity"" investor"	"""Anu Hariharan"" email investor"								31673c08-6377-4461-a220-e6afa9b515b6
132	70	top_firm_or_brand: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Cristina Cordova	vc	USA	San Francisco, CA	Partner at Benchmark. Former head of Platform and Partnerships at Stripe. Angel in payments and SaaS.			https://twitter.com/cjc			"site:linkedin.com/in ""Cristina Cordova"" ""Benchmark"""	"""Cristina Cordova"" ""Benchmark"" investor"	"""Cristina Cordova"" email investor"								0ffc4e47-5e3d-4de7-8427-456478adc456
133	70	top_firm_or_brand: important but missing contact data	portfolio, website, linkedin_url, email, contact_source	Konstantine Buhler	vc	USA	San Francisco, CA	Partner at Sequoia Capital focused on AI and healthcare. Previously investor at Bessemer.			https://twitter.com/kbuhler			"site:linkedin.com/in ""Konstantine Buhler"" ""Sequoia Capital focused on AI and healthcare"""	"""Konstantine Buhler"" ""Sequoia Capital focused on AI and healthcare"" investor"	"""Konstantine Buhler"" email investor"								d66d8d00-5ded-4405-9b44-85e660241b4c
